                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2931,                0.86373,                 1.1245,                0.71736,                0.64807,                0.65143,                0.47669,                 1.3353,                0.74765,                 1.1515,             0.00055261,             0.00055261,             0.00055261
                     36,                 1.2709,                0.87419,                 1.1247,                0.73791,                0.65978,                0.66266,                0.46801,                 1.2765,                0.77333,                 1.1444,             0.00054437,             0.00054437,             0.00054437
                     37,                 1.2896,                0.87123,                 1.1102,                0.77176,                0.65892,                0.66283,                0.45828,                 1.3378,                 0.7936,                 1.2294,             0.00053612,             0.00053612,             0.00053612
                     38,                 1.3134,                0.87585,                 1.1262,                0.68302,                 0.6641,                0.66941,                0.44959,                 1.4128,                0.81199,                 1.2323,             0.00052787,             0.00052787,             0.00052787
                     39,                 1.1996,                0.83079,                 1.0928,                 0.5666,                0.55937,                0.66803,                0.48513,                 1.2518,                0.73476,                  1.155,             0.00051963,             0.00051963,             0.00051963
                     40,                 1.1973,                0.78784,                  1.115,                0.60101,                0.51717,                0.67357,                0.45509,                 1.4054,                0.73841,                 1.1907,             0.00051138,             0.00051138,             0.00051138
                     41,                 1.1818,                 0.7982,                 1.0992,                0.51611,                0.71875,                 0.6861,                0.45432,                 1.5364,                 0.7662,                 1.2096,             0.00050313,             0.00050313,             0.00050313
                     42,                 1.1521,                0.79438,                 1.1099,                0.80745,                0.68311,                0.68036,                0.48403,                 1.3018,                0.73737,                 1.1635,             0.00049489,             0.00049489,             0.00049489
                     43,                 1.1434,                0.74419,                 1.0813,                0.81658,                0.69515,                0.67146,                0.46652,                 1.2319,                0.69976,                 1.1411,             0.00048664,             0.00048664,             0.00048664
                     44,                 1.1746,                0.77687,                  1.099,                0.84795,                0.67126,                0.67831,                0.49797,                 1.1589,                0.70698,                 1.0819,             0.00047839,             0.00047839,             0.00047839
