                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    153,                0.99515,                0.61184,                0.98897,                0.63104,                0.69749,                0.72319,                0.57478,                  1.407,                0.63902,                0.99205,             0.00041517,             0.00041517,             0.00041517
                    154,                 1.0254,                0.62743,                0.99192,                0.66408,                0.70053,                0.73251,                0.58543,                  1.405,                0.64518,                 1.0051,             0.00041242,             0.00041242,             0.00041242
                    155,                 1.0211,                0.63882,                 1.0073,                0.67659,                0.70242,                0.73601,                0.57354,                 1.3943,                0.64646,                0.98603,             0.00040967,             0.00040967,             0.00040967
                    156,                0.97304,                0.65899,                0.97974,                0.66259,                0.69686,                0.73491,                0.58466,                 1.4042,                0.65267,                0.97405,             0.00040692,             0.00040692,             0.00040692
                    157,                 1.0027,                0.61714,                 1.0041,                0.65801,                0.70323,                0.73449,                0.58918,                 1.3933,                0.63881,                0.97432,             0.00040417,             0.00040417,             0.00040417
                    158,                 1.0013,                0.61715,                0.99925,                0.66866,                0.70316,                0.73842,                0.58844,                 1.3539,                0.62871,                0.99694,             0.00040142,             0.00040142,             0.00040142
                    159,                0.98462,                0.60329,                0.99617,                0.66187,                0.70443,                0.73753,                0.59008,                 1.3843,                0.62491,                 1.0243,             0.00039867,             0.00039867,             0.00039867
                    160,                 1.0091,                0.63176,                 1.0081,                0.65063,                0.70265,                0.73676,                 0.5867,                 1.4098,                  0.625,                 1.0031,             0.00039592,             0.00039592,             0.00039592
                    161,                0.95827,                0.60874,                0.98041,                0.64258,                0.70631,                0.73967,                0.58186,                 1.4326,                0.62584,                0.98036,             0.00039318,             0.00039318,             0.00039318
                    162,                  1.004,                0.64188,                0.97486,                0.65163,                 0.7055,                0.74037,                0.57171,                 1.4935,                 0.6386,                0.99651,             0.00039043,             0.00039043,             0.00039043
                    163,                 1.0143,                0.60436,                0.99193,                0.65223,                 0.7067,                0.73927,                0.57703,                 1.5037,                0.65262,                0.99985,             0.00038768,             0.00038768,             0.00038768
                    164,                0.98013,                0.61258,                 0.9797,                0.66555,                0.70542,                0.73778,                0.58435,                 1.4856,                0.64515,                0.98803,             0.00038493,             0.00038493,             0.00038493
                    165,                0.97356,                0.60371,                0.98418,                0.66267,                 0.7053,                0.73562,                0.59835,                 1.4795,                0.63195,                0.99927,             0.00038218,             0.00038218,             0.00038218
                    166,                0.98592,                0.60059,                0.97826,                0.67117,                0.71208,                0.73292,                0.60567,                  1.423,                0.61252,                0.99722,             0.00037943,             0.00037943,             0.00037943
                    167,                 1.0602,                0.62472,                 1.0018,                0.67806,                0.71611,                0.73553,                  0.599,                 1.3644,                0.60081,                0.97727,             0.00037668,             0.00037668,             0.00037668
                    168,                0.98833,                0.60039,                0.98098,                0.68637,                0.71962,                0.74169,                0.60531,                 1.3946,                0.61152,                 0.9663,             0.00037393,             0.00037393,             0.00037393
                    169,                0.96892,                0.58175,                0.95981,                 0.6819,                0.72384,                0.74103,                0.59859,                 1.4163,                0.62283,                0.97015,             0.00037118,             0.00037118,             0.00037118
                    170,                0.99498,                0.61637,                0.96395,                0.67906,                0.71912,                0.74202,                0.58615,                 1.3935,                0.62119,                 0.9699,             0.00036844,             0.00036844,             0.00036844
                    171,                 1.0728,                0.64517,                0.99024,                0.67579,                0.71397,                0.74202,                 0.5825,                 1.3278,                0.61145,                0.96243,             0.00036569,             0.00036569,             0.00036569
                    172,                 1.0379,                0.60509,                0.97858,                0.66143,                0.71003,                0.74027,                0.57662,                 1.2276,                 0.5974,                0.95075,             0.00036294,             0.00036294,             0.00036294
                    173,                0.95683,                0.61535,                0.98374,                0.66416,                0.70045,                0.73793,                 0.5894,                 1.1632,                0.58866,                0.95022,             0.00036019,             0.00036019,             0.00036019
                    174,                 0.9584,                0.61236,                0.98971,                0.66527,                0.70603,                0.73824,                0.58974,                  1.191,                0.60037,                0.96036,             0.00035744,             0.00035744,             0.00035744
                    175,                 1.2092,                0.65443,                0.98984,                0.66019,                0.70448,                0.73813,                0.56967,                 1.2447,                0.61017,                0.96636,             0.00035469,             0.00035469,             0.00035469
                    176,                 1.0548,                0.62294,                0.99823,                0.65473,                0.70415,                0.73856,                0.57651,                 1.2994,                0.61743,                0.96489,             0.00035194,             0.00035194,             0.00035194
                    177,                0.99717,                0.60318,                0.97015,                0.64709,                 0.6973,                0.73767,                 0.5768,                 1.3551,                0.62075,                0.96039,             0.00034919,             0.00034919,             0.00034919
                    178,                 1.0148,                 0.6126,                0.97803,                0.66253,                0.71295,                0.74079,                0.59598,                 1.3965,                0.62406,                0.96184,             0.00034644,             0.00034644,             0.00034644
                    179,                 1.0965,                0.62644,                 1.0113,                0.66799,                 0.7122,                0.74151,                0.59784,                 1.4179,                0.63229,                0.96639,              0.0003437,              0.0003437,              0.0003437
                    180,                 1.0892,                0.62766,                 1.0085,                0.68108,                0.71625,                0.74536,                0.60521,                 1.3834,                0.63321,                0.96271,             0.00034095,             0.00034095,             0.00034095
                    181,                0.97897,                0.60543,                0.97609,                0.68717,                0.71172,                0.74481,                0.61902,                 1.3371,                0.63673,                0.95773,              0.0003382,              0.0003382,              0.0003382
                    182,                0.98861,                0.62854,                0.97973,                0.68947,                0.71685,                0.74012,                0.60461,                 1.2982,                0.64454,                0.95624,             0.00033545,             0.00033545,             0.00033545
                    183,                 1.0092,                0.61061,                0.97473,                0.68716,                0.71337,                0.73872,                0.60654,                 1.2985,                0.65245,                0.95915,              0.0003327,              0.0003327,              0.0003327
                    184,                0.97508,                0.62582,                0.97653,                 0.6744,                0.71238,                0.73838,                0.61984,                  1.332,                0.66691,                0.96115,             0.00032995,             0.00032995,             0.00032995
                    185,                0.98499,                0.62324,                0.97177,                0.66532,                 0.7132,                0.73851,                0.62418,                 1.3345,                0.67367,                0.96063,              0.0003272,              0.0003272,              0.0003272
                    186,                0.98784,                0.60083,                0.96128,                0.66341,                0.71558,                0.74018,                0.61232,                 1.3356,                0.67383,                 0.9601,             0.00032445,             0.00032445,             0.00032445
                    187,                 1.0013,                0.59705,                0.97501,                0.66778,                0.71771,                 0.7414,                0.60677,                 1.3667,                 0.6659,                0.96142,              0.0003217,              0.0003217,              0.0003217
                    188,                 0.9917,                0.59684,                0.94924,                0.66779,                 0.7163,                0.74163,                0.60093,                 1.3864,                 0.6446,                 0.9608,             0.00031896,             0.00031896,             0.00031896
                    189,                0.99951,                0.64157,                0.98056,                0.65781,                0.71478,                0.74345,                0.59677,                  1.404,                0.62587,                0.96084,             0.00031621,             0.00031621,             0.00031621
                    190,                 1.0142,                0.60387,                0.98267,                0.65574,                0.71719,                0.74462,                0.60788,                 1.3934,                0.60316,                 0.9604,             0.00031346,             0.00031346,             0.00031346
                    191,                0.98179,                0.59334,                 0.9644,                0.65168,                0.71286,                0.74462,                0.61116,                 1.3935,                0.59735,                0.96635,             0.00031071,             0.00031071,             0.00031071
                    192,                 1.0278,                0.60878,                0.95846,                0.64813,                0.70974,                0.74484,                0.60169,                 1.4257,                0.60536,                0.98019,             0.00030796,             0.00030796,             0.00030796
                    193,                 1.1022,                0.62865,                0.96831,                0.63824,                0.70532,                 0.7437,                0.59898,                 1.4632,                0.61972,                0.99487,             0.00030521,             0.00030521,             0.00030521
                    194,                0.95917,                0.60399,                0.96891,                0.64063,                0.71086,                 0.7449,                0.60171,                 1.4282,                0.60756,                0.98876,             0.00030246,             0.00030246,             0.00030246
                    195,                0.98052,                 0.6133,                0.97558,                 0.6471,                0.71036,                0.74595,                0.59934,                 1.3472,                0.59283,                0.97131,             0.00029971,             0.00029971,             0.00029971
                    196,                 0.9661,                0.58503,                0.96027,                  0.655,                0.70813,                0.73886,                0.59074,                 1.2945,                0.59011,                0.95944,             0.00029696,             0.00029696,             0.00029696
                    197,                 1.0183,                0.60201,                0.98368,                0.65637,                  0.717,                0.74568,                0.59131,                 1.2572,                0.59769,                0.95547,             0.00029422,             0.00029422,             0.00029422
                    198,                 1.0186,                0.59899,                 0.9639,                0.66414,                0.71897,                0.74543,                0.59349,                 1.2316,                0.60736,                0.95443,             0.00029147,             0.00029147,             0.00029147
                    199,                 0.9896,                0.62092,                0.98899,                0.66493,                0.72095,                  0.745,                0.60272,                 1.2282,                0.61819,                0.95488,             0.00028872,             0.00028872,             0.00028872
                    200,                0.94158,                 0.5687,                0.95847,                0.66435,                0.72246,                 0.7444,                 0.6024,                 1.3098,                0.64627,                0.96126,             0.00028597,             0.00028597,             0.00028597
                    201,                0.95193,                 0.5903,                0.98219,                0.66207,                0.71758,                0.74432,                0.62189,                 1.4472,                0.67431,                0.97988,             0.00028322,             0.00028322,             0.00028322
                    202,                 1.0252,                0.60198,                0.96356,                0.65459,                0.71578,                  0.745,                0.62313,                 1.5447,                0.69265,                0.99706,             0.00028047,             0.00028047,             0.00028047
                    203,                0.98534,                0.59975,                0.97938,                0.65798,                0.71133,                0.74415,                0.62291,                 1.5517,                0.68964,                0.99442,             0.00027772,             0.00027772,             0.00027772
                    204,                0.98115,                0.58617,                0.96819,                 0.6525,                0.70612,                0.74176,                0.60078,                 1.4752,                0.66588,                0.97734,             0.00027497,             0.00027497,             0.00027497
                    205,                0.95747,                0.58312,                0.97744,                0.66847,                0.70573,                0.74135,                0.60374,                 1.3729,                0.63331,                0.96645,             0.00027222,             0.00027222,             0.00027222
                    206,                0.94634,                0.58256,                0.96831,                0.66676,                0.71035,                0.74191,                0.61093,                 1.3162,                0.61198,                0.96485,             0.00026948,             0.00026948,             0.00026948
                    207,                0.99023,                0.59955,                0.95067,                0.67707,                0.71534,                  0.744,                0.61269,                 1.3095,                 0.6034,                0.96226,             0.00026673,             0.00026673,             0.00026673
                    208,                0.95979,                0.58007,                0.97437,                0.68151,                0.71569,                0.74369,                0.59879,                 1.3325,                0.60768,                0.95504,             0.00026398,             0.00026398,             0.00026398
                    209,                0.93039,                0.59129,                0.95431,                0.68571,                0.71509,                0.74384,                0.60358,                 1.3859,                0.62299,                0.95576,             0.00026123,             0.00026123,             0.00026123
                    210,                0.92547,                0.56384,                0.96804,                0.67979,                  0.719,                0.74543,                0.61099,                 1.4149,                0.62613,                 0.9592,             0.00025848,             0.00025848,             0.00025848
                    211,                0.92389,                0.55706,                0.96618,                0.67884,                0.71786,                0.74463,                0.61837,                 1.3707,                0.61318,                0.95444,             0.00025573,             0.00025573,             0.00025573
                    212,                0.95867,                0.56663,                0.95586,                0.67518,                0.71375,                0.74268,                0.61626,                 1.2904,                0.59677,                0.94925,             0.00025298,             0.00025298,             0.00025298
                    213,                0.91787,                0.57109,                0.94704,                0.67482,                0.71283,                0.73754,                0.61472,                 1.1954,                0.57716,                0.94452,             0.00025023,             0.00025023,             0.00025023
                    214,                 0.9815,                0.56777,                0.96295,                0.67812,                  0.709,                0.73537,                0.61013,                 1.1346,                0.56683,                0.93858,             0.00024748,             0.00024748,             0.00024748
                    215,                 0.9348,                0.57064,                0.96153,                 0.6786,                0.70956,                 0.7347,                0.61206,                 1.1309,                 0.5648,                0.93516,             0.00024474,             0.00024474,             0.00024474
                    216,                0.95428,                0.57794,                0.94267,                0.67109,                0.71031,                0.73665,                0.61655,                 1.1645,                0.58429,                0.93607,             0.00024199,             0.00024199,             0.00024199
                    217,                0.90741,                0.55201,                0.95412,                0.68218,                0.72077,                0.74481,                0.61938,                  1.278,                0.61543,                0.94642,             0.00023924,             0.00023924,             0.00023924
                    218,                0.91991,                0.57633,                0.97412,                0.68757,                 0.7225,                0.74521,                0.62225,                 1.3928,                0.65488,                0.95956,             0.00023649,             0.00023649,             0.00023649
                    219,                0.94922,                0.60111,                0.96877,                0.69053,                0.72423,                  0.745,                0.62282,                 1.4305,                0.66649,                0.96728,             0.00023374,             0.00023374,             0.00023374
                    220,                0.87515,                0.54569,                0.96067,                0.69235,                 0.7239,                0.74521,                0.61925,                 1.3898,                 0.6589,                0.96401,             0.00023099,             0.00023099,             0.00023099
                    221,                0.96365,                0.59426,                0.96859,                0.68879,                0.72788,                0.74568,                0.61274,                 1.3215,                0.64287,                0.95405,             0.00022824,             0.00022824,             0.00022824
                    222,                0.91928,                0.58469,                0.96504,                0.68398,                0.72837,                0.74481,                0.60438,                 1.2774,                0.62693,                0.94551,             0.00022549,             0.00022549,             0.00022549
                    223,                0.91071,                0.56587,                0.95971,                0.68511,                0.71963,                0.74461,                0.60425,                 1.2819,                0.61727,                0.94495,             0.00022274,             0.00022274,             0.00022274
                    224,                0.92911,                0.58362,                0.97568,                 0.6865,                0.71274,                0.74417,                 0.6165,                 1.3407,                 0.6171,                0.95189,                0.00022,                0.00022,                0.00022
                    225,                0.94684,                0.58131,                 0.9833,                0.67827,                0.72259,                0.74565,                0.62286,                 1.3568,                0.61867,                 0.9568,             0.00021725,             0.00021725,             0.00021725
                    226,                0.93154,                0.57253,                0.96178,                0.67115,                 0.7208,                0.74568,                0.62459,                 1.3275,                0.60984,                0.95657,              0.0002145,              0.0002145,              0.0002145
                    227,                0.96321,                 0.6063,                0.98209,                0.67474,                0.71757,                 0.7449,                0.63289,                 1.2846,                0.61358,                0.95213,             0.00021175,             0.00021175,             0.00021175
                    228,                0.87817,                0.58128,                0.95354,                0.67596,                0.71631,                0.74481,                0.62869,                 1.2596,                0.61534,                0.94851,               0.000209,               0.000209,               0.000209
                    229,                0.94357,                0.57752,                0.95126,                0.67835,                0.72057,                0.74481,                0.63005,                 1.2525,                 0.6145,                0.94833,             0.00020625,             0.00020625,             0.00020625
                    230,                0.92033,                0.56619,                0.96646,                0.68207,                0.72013,                0.74451,                0.63097,                 1.2581,                0.60864,                 0.9483,              0.0002035,              0.0002035,              0.0002035
                    231,                0.92759,                 0.5747,                0.94933,                 0.6873,                0.71358,                0.74536,                0.63464,                 1.2742,                0.59866,                0.94693,             0.00020075,             0.00020075,             0.00020075
                    232,                0.93242,                0.57399,                0.96516,                0.68096,                 0.7234,                0.74565,                0.63364,                 1.2718,                0.58551,                0.94591,               0.000198,               0.000198,               0.000198
                    233,                0.88829,                0.55422,                0.94567,                0.80572,                0.72016,                0.87033,                0.70587,                 1.2715,                0.57422,                0.94656,             0.00019526,             0.00019526,             0.00019526
                    234,                0.89245,                0.55713,                 0.9755,                0.79928,                0.72205,                0.87033,                 0.7088,                  1.274,                0.56987,                0.94831,             0.00019251,             0.00019251,             0.00019251
                    235,                0.85921,                0.54137,                0.95648,                0.79306,                0.71408,                0.86896,                0.70165,                 1.3113,                0.57959,                0.94881,             0.00018976,             0.00018976,             0.00018976
                    236,                0.94713,                0.55447,                0.94898,                0.78998,                0.71797,                0.86896,                 0.6985,                 1.3475,                0.58948,                0.94987,             0.00018701,             0.00018701,             0.00018701
                    237,                0.94492,                0.56241,                0.95387,                0.79104,                0.71518,                0.86836,                0.67691,                 1.3731,                0.60373,                0.95185,             0.00018426,             0.00018426,             0.00018426
                    238,                0.91597,                0.57756,                0.96795,                0.79066,                0.71183,                0.83176,                0.66191,                  1.349,                0.60734,                0.94983,             0.00018151,             0.00018151,             0.00018151
                    239,                0.91511,                 0.5693,                0.96593,                0.67099,                0.71166,                0.73804,                0.60018,                 1.3159,                0.60568,                0.94788,             0.00017876,             0.00017876,             0.00017876
                    240,                0.89058,                0.59895,                0.95837,                0.67594,                0.70786,                0.73996,                0.59799,                  1.281,                0.60238,                0.94672,             0.00017601,             0.00017601,             0.00017601
                    241,                0.91194,                0.57722,                0.96128,                0.67828,                0.71277,                0.73989,                0.59641,                 1.2743,                0.60218,                0.94952,             0.00017326,             0.00017326,             0.00017326
                    242,                0.88242,                0.56405,                0.94317,                0.67294,                0.72269,                0.74537,                0.60005,                 1.2545,                 0.6006,                0.94852,             0.00017052,             0.00017052,             0.00017052
                    243,                0.90889,                0.57147,                0.96105,                0.79701,                0.73016,                0.83918,                0.65491,                 1.2442,                0.59483,                0.94785,             0.00016777,             0.00016777,             0.00016777
                    244,                 0.8972,                0.55533,                0.95529,                0.79362,                0.73339,                0.87033,                0.68447,                 1.2566,                0.58947,                0.94674,             0.00016502,             0.00016502,             0.00016502
                    245,                  0.891,                0.55898,                0.94554,                0.78922,                0.73033,                0.87062,                0.69466,                 1.3049,                0.59291,                0.94888,             0.00016227,             0.00016227,             0.00016227
                    246,                 0.9013,                0.54814,                0.95185,                0.78544,                0.71136,                0.86866,                0.69575,                  1.362,                 0.5964,                0.95242,             0.00015952,             0.00015952,             0.00015952
                    247,                0.86347,                0.54839,                0.94675,                0.77501,                0.71136,                0.86866,                0.70924,                 1.3729,                0.59209,                0.95241,             0.00015677,             0.00015677,             0.00015677
                    248,                0.90649,                0.58312,                 0.9642,                0.77137,                0.70964,                0.86637,                0.70757,                  1.368,                 0.5812,                0.95139,             0.00015402,             0.00015402,             0.00015402
                    249,                 0.9167,                0.54786,                0.93952,                 0.7725,                0.70969,                0.86637,                0.70321,                 1.3439,                0.57471,                0.94963,             0.00015127,             0.00015127,             0.00015127
                    250,                0.92782,                0.58912,                0.95985,                0.78858,                 0.6997,                0.86459,                0.69438,                 1.3401,                0.57821,                0.94961,             0.00014852,             0.00014852,             0.00014852
                    251,                0.87378,                0.57289,                0.95107,                0.80017,                0.69858,                0.86506,                0.70102,                 1.3216,                0.58026,                0.94933,             0.00014577,             0.00014577,             0.00014577
                    252,                0.89728,                0.57094,                 0.9583,                0.80379,                0.70506,                0.86633,                0.69934,                 1.2883,                0.57725,                0.94636,             0.00014303,             0.00014303,             0.00014303
                    253,                0.92432,                0.56418,                0.93857,                0.80287,                0.70876,                0.86246,                0.69774,                 1.2709,                0.57888,                 0.9441,             0.00014028,             0.00014028,             0.00014028
                    254,                0.89768,                 0.5552,                 0.9603,                0.80006,                0.71758,                0.86443,                 0.6989,                 1.2566,                0.57468,                0.94367,             0.00013753,             0.00013753,             0.00013753
                    255,                0.83457,                0.52938,                0.93192,                0.79847,                0.72303,                0.83384,                0.68499,                 1.2622,                0.58033,                0.94524,             0.00013478,             0.00013478,             0.00013478
                    256,                0.90208,                0.56322,                0.95563,                0.69161,                0.72292,                0.74014,                0.61684,                 1.2857,                0.59296,                0.94928,             0.00013203,             0.00013203,             0.00013203
                    257,                0.88901,                0.54904,                0.94297,                0.68839,                0.72322,                0.74018,                0.61599,                 1.3086,                0.60293,                0.95287,             0.00012928,             0.00012928,             0.00012928
                    258,                0.88632,                0.54421,                0.93641,                0.68073,                 0.7252,                0.74022,                0.60642,                 1.2973,                0.60367,                0.95061,             0.00012653,             0.00012653,             0.00012653
                    259,                0.88861,                0.55193,                0.95558,                0.65508,                0.70838,                0.73992,                0.59559,                 1.2628,                0.59699,                0.94648,             0.00012378,             0.00012378,             0.00012378
                    260,                0.90476,                0.56368,                0.97029,                0.63469,                0.72042,                0.73989,                0.59345,                 1.2201,                0.58789,                0.94182,             0.00012103,             0.00012103,             0.00012103
                    261,                0.88159,                0.54169,                0.93689,                0.63338,                0.72162,                0.74014,                0.59531,                 1.1947,                0.57954,                0.93768,             0.00011829,             0.00011829,             0.00011829
                    262,                0.88075,                0.53929,                 0.9446,                0.78049,                0.69462,                0.74458,                0.59478,                 1.1916,                0.57382,                0.93571,             0.00011554,             0.00011554,             0.00011554
                    263,                0.89938,                0.57251,                0.96308,                0.78232,                0.69718,                0.74458,                0.61077,                 1.2022,                0.57283,                0.93606,             0.00011279,             0.00011279,             0.00011279
                    264,                0.88049,                0.54212,                 0.9669,                0.78605,                0.69996,                0.74458,                0.60986,                 1.2119,                0.57064,                  0.937,             0.00011004,             0.00011004,             0.00011004
                    265,                0.83542,                0.53573,                0.94156,                0.78972,                0.70198,                0.74458,                0.61043,                 1.2173,                0.56802,                0.93763,             0.00010729,             0.00010729,             0.00010729
                    266,                0.87589,                 0.5619,                0.94368,                0.79385,                0.70254,                0.74458,                0.62478,                 1.2252,                0.56501,                0.93965,             0.00010454,             0.00010454,             0.00010454
                    267,                0.89254,                0.57007,                0.95029,                 0.7952,                0.70442,                0.74325,                 0.6239,                 1.2207,                0.56021,                0.94106,             0.00010179,             0.00010179,             0.00010179
                    268,                0.83973,                0.53299,                0.93157,                0.80075,                0.70624,                0.74325,                0.62064,                 1.2125,                0.55793,                0.94085,             9.9044e-05,             9.9044e-05,             9.9044e-05
                    269,                  0.899,                0.54519,                0.94324,                0.80428,                0.70082,                0.86762,                0.68826,                 1.2152,                0.55621,                0.94002,             9.6295e-05,             9.6295e-05,             9.6295e-05
                    270,                 0.8998,                0.60625,                0.95466,                0.80729,                0.69836,                0.86762,                0.68953,                 1.2152,                0.55649,                0.93764,             9.3546e-05,             9.3546e-05,             9.3546e-05
                    271,                 0.8819,                0.54084,                0.95301,                0.77694,                 0.7196,                0.86559,                0.69076,                 1.2226,                0.56364,                0.93567,             9.0797e-05,             9.0797e-05,             9.0797e-05
                    272,                0.90144,                0.54517,                0.93692,                0.78253,                0.71911,                0.86559,                0.68871,                 1.2359,                0.56391,                0.93564,             8.8048e-05,             8.8048e-05,             8.8048e-05
                    273,                0.87744,                 0.5563,                  0.954,                0.78786,                0.71889,                  0.865,                0.68786,                 1.2443,                0.57316,                0.93665,             8.5299e-05,             8.5299e-05,             8.5299e-05
                    274,                 0.8488,                0.53437,                0.94318,                0.78978,                0.71961,                0.85948,                0.68578,                 1.2572,                0.58001,                0.93824,              8.255e-05,              8.255e-05,              8.255e-05
                    275,                0.86101,                0.54498,                0.94236,                0.79148,                0.72176,                0.85949,                0.68498,                  1.265,                0.58638,                 0.9392,             7.9801e-05,             7.9801e-05,             7.9801e-05
                    276,                0.89523,                0.54677,                0.96231,                0.78999,                0.72112,                 0.8653,                 0.6863,                 1.2772,                0.59183,                0.94034,             7.7053e-05,             7.7053e-05,             7.7053e-05
                    277,                0.86479,                 0.5396,                 0.9508,                0.79252,                0.71852,                 0.8653,                0.68434,                 1.2926,                0.59845,                0.94304,             7.4304e-05,             7.4304e-05,             7.4304e-05
                    278,                0.86928,                0.54539,                0.95769,                0.79404,                0.71695,                0.81342,                0.64994,                 1.3004,                0.59956,                0.94499,             7.1555e-05,             7.1555e-05,             7.1555e-05
                    279,                0.84884,                 0.5295,                0.93247,                0.79437,                0.71675,                0.81342,                0.65671,                 1.2965,                 0.5995,                0.94478,             6.8806e-05,             6.8806e-05,             6.8806e-05
                    280,                0.84773,                0.53196,                0.94225,                0.80371,                0.70898,                0.74295,                0.63203,                 1.2858,                0.59997,                0.94394,             6.6057e-05,             6.6057e-05,             6.6057e-05
                    281,                0.84463,                0.54447,                0.94388,                0.80575,                0.70654,                0.74325,                0.63251,                 1.2653,                0.60278,                0.94275,             6.3308e-05,             6.3308e-05,             6.3308e-05
                    282,                0.86062,                0.52768,                0.94042,                0.81228,                0.70617,                0.74325,                 0.6363,                 1.2492,                 0.6003,                0.94207,             6.0559e-05,             6.0559e-05,             6.0559e-05
                    283,                0.87667,                0.53025,                 0.9391,                0.81294,                0.71298,                0.74325,                0.63689,                 1.2416,                0.60115,                0.94119,              5.781e-05,              5.781e-05,              5.781e-05
                    284,                0.86096,                0.52543,                0.94421,                 0.8134,                 0.7136,                0.74325,                 0.6372,                 1.2372,                0.59735,                0.94123,             5.5061e-05,             5.5061e-05,             5.5061e-05
                    285,                0.86513,                0.54944,                0.94416,                0.81303,                0.71391,                0.74325,                0.63601,                 1.2426,                0.59461,                0.94206,             5.2312e-05,             5.2312e-05,             5.2312e-05
                    286,                0.88601,                0.54421,                0.96091,                0.81199,                0.71559,                0.74458,                0.63613,                 1.2604,                 0.5928,                0.94412,             4.9564e-05,             4.9564e-05,             4.9564e-05
                    287,                0.86178,                0.54379,                0.95114,                0.81258,                0.71585,                0.74458,                0.63586,                 1.2783,                0.59412,                0.94594,             4.6815e-05,             4.6815e-05,             4.6815e-05
                    288,                0.88922,                0.55141,                0.94742,                0.68865,                0.71612,                0.74458,                0.63447,                 1.2935,                0.59577,                0.94751,             4.4066e-05,             4.4066e-05,             4.4066e-05
                    289,                0.87261,                0.54394,                0.95097,                 0.6892,                0.71693,                0.74458,                0.63245,                 1.3088,                 0.5965,                0.94819,             4.1317e-05,             4.1317e-05,             4.1317e-05
                    290,                0.82634,                 0.5239,                0.94143,                0.68838,                 0.7174,                0.74458,                0.63312,                 1.3121,                0.59601,                0.94783,             3.8568e-05,             3.8568e-05,             3.8568e-05
                    291,                0.87472,                0.59843,                0.96206,                0.68917,                0.71763,                0.74458,                0.62885,                 1.3118,                0.60477,                0.94856,             3.5819e-05,             3.5819e-05,             3.5819e-05
                    292,                0.85334,                0.57906,                0.97245,                0.70425,                0.71809,                0.74458,                0.62713,                  1.311,                0.60865,                0.94953,              3.307e-05,              3.307e-05,              3.307e-05
                    293,                 0.8514,                0.58126,                0.96175,                 0.6999,                0.71889,                 0.7389,                0.62794,                 1.3026,                0.61392,                0.94941,             3.0321e-05,             3.0321e-05,             3.0321e-05
                    294,                0.83783,                 0.5701,                 0.9687,                 0.6941,                0.72018,                0.73758,                0.62631,                 1.2955,                 0.6157,                0.95016,             2.7572e-05,             2.7572e-05,             2.7572e-05
                    295,                0.86522,                0.57941,                0.94444,                0.68713,                0.72324,                0.73556,                0.62481,                 1.2877,                0.62145,                0.95019,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    296,                0.88533,                0.58422,                0.97264,                0.68738,                0.72171,                0.73371,                0.62162,                 1.2823,                0.62377,                0.95097,             2.2075e-05,             2.2075e-05,             2.2075e-05
                    297,                0.84624,                0.56499,                0.97173,                0.68426,                0.71967,                0.73373,                0.61896,                 1.2796,                0.63176,                0.95217,             1.9326e-05,             1.9326e-05,             1.9326e-05
                    298,                0.82981,                0.55184,                 0.9485,                0.67999,                0.71906,                0.73374,                0.62128,                 1.2784,                0.63392,                 0.9524,             1.6577e-05,             1.6577e-05,             1.6577e-05
                    299,                0.80912,                0.54118,                0.94117,                0.67263,                0.71893,                0.73343,                0.61759,                   1.28,                 0.6378,                0.95281,             1.3828e-05,             1.3828e-05,             1.3828e-05
                    300,                0.86005,                0.57033,                0.96465,                0.66918,                0.72022,                0.73347,                0.61998,                 1.2839,                0.64866,                0.95434,             1.1079e-05,             1.1079e-05,             1.1079e-05
