                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5487,                 1.1886,                 1.1403,                0.47074,                0.63741,                0.65631,                0.47209,                  1.567,                0.99199,                 1.1013,             0.00074229,             0.00074229,             0.00074229
                     35,                 1.5039,                 1.1652,                 1.1441,                0.52418,                  0.575,                0.57181,                0.39408,                 1.5225,                0.99373,                 1.1083,             0.00073954,             0.00073954,             0.00073954
                     36,                 1.5644,                 1.1248,                 1.1653,                 0.3716,                0.61016,                0.55698,                0.34956,                 1.5705,                 1.0531,                 1.1804,             0.00073679,             0.00073679,             0.00073679
                     37,                  1.522,                 1.0653,                 1.1573,                0.40713,                0.62813,                0.59237,                0.36839,                 1.7913,                 1.1231,                 1.2771,             0.00073404,             0.00073404,             0.00073404
                     38,                 1.4814,                 1.0607,                 1.1549,                0.58957,                0.68671,                0.64976,                0.44691,                 1.9714,                 1.0628,                 1.1824,             0.00073129,             0.00073129,             0.00073129
                     39,                 1.5503,                 1.0849,                 1.1471,                0.57879,                0.70212,                 0.6436,                0.42711,                 1.9637,                 1.0545,                 1.1757,             0.00072854,             0.00072854,             0.00072854
                     40,                 1.5357,                 1.0383,                 1.1549,                0.59848,                0.59859,                0.63568,                0.44566,                 1.7495,                0.98871,                 1.1487,             0.00072579,             0.00072579,             0.00072579
                     41,                  1.455,                 1.0248,                 1.1364,                0.72229,                0.59284,                0.63177,                0.42026,                 1.4895,                0.89663,                 1.0476,             0.00072304,             0.00072304,             0.00072304
                     42,                 1.4266,                 1.0172,                 1.1279,                0.84957,                 0.5925,                0.65045,                0.40312,                 1.6314,                0.87007,                 1.1059,              0.0007203,              0.0007203,              0.0007203
                     43,                 1.5945,                  1.045,                 1.1432,                0.72606,                0.65909,                0.67688,                 0.4357,                 1.7285,                0.90966,                 1.1696,             0.00071755,             0.00071755,             0.00071755
                     44,                 1.4172,                0.97572,                  1.139,                0.64094,                 0.6703,                0.69356,                0.44642,                  1.656,                0.89229,                 1.0932,              0.0007148,              0.0007148,              0.0007148
                     45,                 1.4736,                 1.0141,                 1.1222,                0.60345,                0.69208,                0.69998,                0.49656,                  1.566,                0.85772,                 1.0773,             0.00071205,             0.00071205,             0.00071205
                     46,                 1.4157,                0.96624,                 1.1346,                0.66048,                0.64357,                0.70325,                0.52155,                 1.5277,                0.84818,                 1.0797,              0.0007093,              0.0007093,              0.0007093
                     47,                 1.3177,                  0.981,                 1.1139,                0.66039,                0.64916,                0.70004,                 0.4851,                 1.6295,                0.84638,                 1.0743,             0.00070655,             0.00070655,             0.00070655
                     48,                 1.3325,                 0.9347,                 1.1127,                0.63233,                 0.6258,                 0.6785,                0.47022,                 1.7254,                0.86363,                 1.1094,              0.0007038,              0.0007038,              0.0007038
                     49,                 1.3727,                 0.9602,                 1.1265,                0.56716,                0.67049,                0.69097,                 0.4867,                 1.6354,                 0.8449,                 1.1303,             0.00070105,             0.00070105,             0.00070105
                     50,                 1.3581,                0.91321,                 1.0765,                0.60403,                0.67812,                0.69922,                0.50625,                  1.484,                0.80058,                 1.1123,              0.0006983,              0.0006983,              0.0006983
                     51,                 1.3612,                0.93704,                 1.0897,                0.61765,                 0.6739,                0.70851,                0.47241,                 1.5652,                0.80476,                  1.068,             0.00069556,             0.00069556,             0.00069556
                     52,                  1.454,                 0.8935,                 1.1041,                0.56367,                0.68437,                0.71178,                 0.4925,                 1.5494,                0.80857,                 1.0544,             0.00069281,             0.00069281,             0.00069281
                     53,                 1.3425,                0.89287,                 1.0739,                0.61891,                0.63446,                0.70718,                0.46725,                  1.427,                0.77849,                 1.0753,             0.00069006,             0.00069006,             0.00069006
                     54,                 1.3245,                0.92838,                 1.0905,                0.69369,                0.67698,                0.70101,                0.53623,                 1.3344,                0.75736,                 1.0858,             0.00068731,             0.00068731,             0.00068731
                     55,                 1.2842,                0.88416,                 1.0952,                0.61641,                0.69015,                0.70345,                0.49303,                 1.4569,                0.80197,                 1.1359,             0.00068456,             0.00068456,             0.00068456
                     56,                 1.4037,                0.90519,                 1.1049,                0.58314,                0.66642,                0.70201,                0.47976,                 1.4807,                0.83103,                 1.1107,             0.00068181,             0.00068181,             0.00068181
                     57,                 1.3938,                0.97081,                 1.0854,                0.60791,                0.65551,                0.70006,                0.48142,                 1.4873,                0.82097,                 1.0711,             0.00067906,             0.00067906,             0.00067906
                     58,                 1.2774,                0.86695,                  1.082,                0.64804,                0.63627,                0.70644,                0.50349,                 1.4424,                0.80211,                  1.048,             0.00067631,             0.00067631,             0.00067631
                     59,                  1.331,                0.88668,                 1.0771,                0.64638,                0.66636,                0.71138,                0.51225,                 1.4102,                 0.7975,                 1.0411,             0.00067356,             0.00067356,             0.00067356
                     60,                 1.2569,                0.88232,                 1.0925,                0.59907,                0.66073,                0.71874,                0.50183,                 1.5319,                0.82381,                 1.0527,             0.00067081,             0.00067081,             0.00067081
                     61,                 1.3607,                 0.8887,                  1.074,                0.55193,                0.65823,                0.70839,                0.49075,                 1.6796,                0.82055,                 1.0736,             0.00066807,             0.00066807,             0.00066807
                     62,                 1.2605,                 0.8661,                 1.1152,                0.60427,                0.65276,                0.71089,                0.52958,                 1.5332,                0.76578,                 1.0658,             0.00066532,             0.00066532,             0.00066532
                     63,                 1.2757,                0.88688,                 1.0447,                0.62129,                0.65031,                0.70159,                0.53407,                 1.3959,                0.75253,                 1.0449,             0.00066257,             0.00066257,             0.00066257
                     64,                  1.271,                0.83069,                 1.0367,                0.62722,                0.66503,                0.68824,                0.49868,                 1.3768,                0.76261,                 1.0232,             0.00065982,             0.00065982,             0.00065982
                     65,                 1.3154,                0.83428,                 1.0963,                0.63493,                0.67645,                0.67687,                0.46381,                 1.4492,                0.77955,                 1.0417,             0.00065707,             0.00065707,             0.00065707
                     66,                 1.3108,                0.84831,                 1.0779,                0.61874,                0.68056,                0.67628,                0.45047,                 1.4523,                0.77583,                 1.0462,             0.00065432,             0.00065432,             0.00065432
                     67,                 1.2596,                0.81542,                 1.0681,                0.62879,                0.67289,                0.68456,                0.51991,                 1.4449,                0.74932,                 1.0354,             0.00065157,             0.00065157,             0.00065157
                     68,                 1.1687,                0.76512,                 1.0461,                0.61821,                0.67509,                0.69755,                0.53307,                 1.4188,                0.72439,                 1.0455,             0.00064882,             0.00064882,             0.00064882
                     69,                 1.1732,                0.77951,                 1.0331,                0.59867,                0.67521,                0.70335,                0.54596,                 1.4422,                0.75789,                 1.0726,             0.00064607,             0.00064607,             0.00064607
                     70,                 1.2754,                0.80046,                 1.0461,                0.57876,                0.67255,                0.70398,                0.53443,                 1.5175,                0.79358,                 1.0906,             0.00064333,             0.00064333,             0.00064333
                     71,                 1.3129,                 0.7888,                 1.0783,                0.56454,                0.67357,                0.70573,                0.55742,                 1.5333,                0.81994,                 1.0916,             0.00064058,             0.00064058,             0.00064058
                     72,                 1.2497,                 0.7936,                 1.0646,                0.56041,                 0.6877,                0.70859,                0.55866,                 1.5083,                0.82275,                 1.0875,             0.00063783,             0.00063783,             0.00063783
                     73,                 1.2286,                0.82318,                 1.0424,                0.57232,                0.69725,                0.71111,                0.54705,                 1.4986,                0.80924,                 1.0916,             0.00063508,             0.00063508,             0.00063508
                     74,                 1.2155,                0.78381,                   1.06,                 0.6027,                0.69119,                0.70829,                0.54072,                  1.439,                0.78254,                 1.0855,             0.00063233,             0.00063233,             0.00063233
                     75,                 1.1135,                0.77409,                 1.0168,                0.63898,                0.67962,                0.70431,                0.53549,                 1.3474,                0.73384,                  1.061,             0.00062958,             0.00062958,             0.00062958
                     76,                 1.1575,                0.75466,                 1.0037,                0.62207,                0.72813,                0.70532,                0.52471,                 1.4194,                0.72523,                 1.0493,             0.00062683,             0.00062683,             0.00062683
                     77,                 1.2583,                 0.7942,                 1.0388,                0.57591,                0.73274,                 0.7068,                0.53365,                 1.4726,                0.72377,                 1.0435,             0.00062408,             0.00062408,             0.00062408
                     78,                 1.2453,                0.77603,                 1.0404,                0.55525,                0.72813,                0.71074,                0.55058,                  1.538,                 0.7161,                  1.048,             0.00062133,             0.00062133,             0.00062133
                     79,                 1.1976,                 0.7544,                 1.0425,                0.53699,                0.72813,                0.71303,                0.56481,                 1.5286,                0.70633,                 1.0627,             0.00061859,             0.00061859,             0.00061859
                     80,                 1.1636,                0.72569,                 1.0167,                0.54892,                0.72813,                0.70876,                0.58129,                 1.4473,                0.70712,                 1.0362,             0.00061584,             0.00061584,             0.00061584
                     81,                 1.1725,                0.78993,                 1.0668,                0.61314,                0.71048,                0.71865,                0.56639,                 1.4435,                0.72831,                 1.0244,             0.00061309,             0.00061309,             0.00061309
                     82,                 1.1684,                0.76301,                 1.1004,                0.63873,                0.71735,                0.73262,                0.53363,                 1.5199,                 0.7357,                 1.0634,             0.00061034,             0.00061034,             0.00061034
                     83,                 1.3425,                0.78376,                 1.0556,                0.63053,                0.70916,                0.73025,                 0.5403,                 1.5385,                0.74919,                 1.0718,             0.00060759,             0.00060759,             0.00060759
                     84,                 1.2206,                0.75847,                 1.0884,                0.61063,                0.71717,                0.73183,                0.57691,                  1.457,                0.73131,                  1.029,             0.00060484,             0.00060484,             0.00060484
                     85,                 1.1633,                0.76845,                 1.0649,                 0.6411,                0.70345,                 0.7277,                0.56665,                 1.4125,                0.71538,                  1.026,             0.00060209,             0.00060209,             0.00060209
                     86,                 1.1852,                0.75197,                 1.0554,                0.61161,                0.67326,                 0.7232,                0.57752,                 1.3589,                0.67996,                 1.0202,             0.00059934,             0.00059934,             0.00059934
                     87,                  1.179,                0.75071,                 1.0536,                0.63314,                0.64827,                0.70777,                0.56443,                 1.2768,                0.67693,                0.99739,             0.00059659,             0.00059659,             0.00059659
                     88,                 1.1365,                0.74268,                 1.0525,                0.59278,                0.67579,                0.69829,                0.53787,                 1.2976,                0.72765,                 1.0144,             0.00059385,             0.00059385,             0.00059385
                     89,                 1.1804,                0.75819,                 1.0396,                0.61165,                0.66047,                0.69191,                0.51785,                 1.3534,                0.75582,                 1.0421,              0.0005911,              0.0005911,              0.0005911
                     90,                 1.1962,                0.75235,                 1.0462,                0.63133,                0.67397,                0.70116,                0.52105,                 1.3434,                0.75395,                 1.0349,             0.00058835,             0.00058835,             0.00058835
                     91,                 1.2361,                0.73125,                 1.0559,                0.62595,                0.67812,                  0.699,                0.52835,                 1.3027,                0.72255,                 1.0201,              0.0005856,              0.0005856,              0.0005856
                     92,                 1.1628,                 0.7219,                 1.0481,                0.62635,                0.68437,                0.70213,                0.54003,                 1.2822,                0.67929,                0.99585,             0.00058285,             0.00058285,             0.00058285
                     93,                 1.2115,                0.74215,                  1.046,                0.60756,                0.68137,                0.69953,                0.51862,                  1.303,                0.66169,                 1.0018,              0.0005801,              0.0005801,              0.0005801
                     94,                 1.1269,                0.72417,                 1.0355,                0.59578,                0.67812,                0.70288,                0.51795,                 1.3815,                0.69344,                 1.0198,             0.00057735,             0.00057735,             0.00057735
                     95,                 1.1171,                0.73518,                 1.0354,                0.60173,                0.67812,                 0.7037,                0.54113,                 1.4112,                0.70038,                 1.0107,              0.0005746,              0.0005746,              0.0005746
                     96,                 1.1021,                0.70106,                 1.0365,                  0.634,                0.68297,                0.72096,                0.55006,                  1.493,                0.71371,                 1.0367,             0.00057185,             0.00057185,             0.00057185
                     97,                 1.2342,                0.72445,                 1.0561,                0.61338,                0.66459,                0.72214,                0.55632,                 1.5362,                0.72201,                 1.0911,             0.00056911,             0.00056911,             0.00056911
                     98,                 1.1121,                0.68799,                 1.0322,                0.56512,                0.70593,                0.71966,                0.56204,                 1.5069,                0.73194,                  1.096,             0.00056636,             0.00056636,             0.00056636
                     99,                 1.1123,                0.69256,                 1.0207,                0.54648,                0.70715,                 0.7152,                0.55135,                  1.444,                0.73588,                 1.0692,             0.00056361,             0.00056361,             0.00056361
                    100,                 1.1482,                0.71138,                 1.0161,                0.53918,                0.70593,                0.70402,                0.54095,                 1.4452,                0.73918,                 1.0398,             0.00056086,             0.00056086,             0.00056086
                    101,                 1.1699,                0.71628,                 1.0061,                0.57379,                0.66907,                0.70361,                 0.5254,                 1.4761,                0.77377,                 1.0194,             0.00055811,             0.00055811,             0.00055811
                    102,                 1.0975,                0.68798,                 1.0263,                0.52309,                0.72876,                0.64584,                0.47654,                  1.373,                0.74483,                0.99454,             0.00055536,             0.00055536,             0.00055536
                    103,                 1.1096,                0.68244,                 1.0218,                  0.571,                0.73438,                0.70491,                0.54425,                  1.234,                0.69221,                 1.0017,             0.00055261,             0.00055261,             0.00055261
                    104,                 1.0897,                0.69254,                 1.0007,                0.49457,                0.73438,                0.70724,                0.56063,                 1.2384,                0.67965,                 1.0132,             0.00054986,             0.00054986,             0.00054986
                    105,                 1.1064,                0.67064,                  1.009,                0.55088,                0.72798,                0.70862,                0.56089,                 1.3403,                0.70055,                 1.0087,             0.00054711,             0.00054711,             0.00054711
                    106,                 1.2412,                 0.7224,                  1.046,                0.59967,                0.70293,                0.70807,                0.54369,                 1.5449,                0.73232,                 1.0178,             0.00054437,             0.00054437,             0.00054437
                    107,                 1.0995,                 0.7168,                 1.0276,                 0.5923,                0.68586,                0.71291,                0.56973,                 1.7235,                0.72531,                 1.0282,             0.00054162,             0.00054162,             0.00054162
                    108,                 1.0718,                0.66514,                 1.0036,                0.60047,                0.69546,                0.71941,                0.57733,                 1.7193,                0.71498,                 1.0188,             0.00053887,             0.00053887,             0.00053887
                    109,                 1.1497,                0.73004,                 1.0179,                0.60188,                  0.709,                0.71897,                0.55917,                 1.6301,                0.70408,                 1.0116,             0.00053612,             0.00053612,             0.00053612
                    110,                 1.1331,                0.70272,                 1.0558,                0.60841,                0.68465,                0.72071,                0.56532,                 1.4482,                0.69164,                 1.0052,             0.00053337,             0.00053337,             0.00053337
                    111,                 1.0975,                0.69752,                 1.0145,                0.61657,                0.67877,                0.72125,                0.56473,                 1.4308,                0.68855,                 1.0142,             0.00053062,             0.00053062,             0.00053062
                    112,                 1.0411,                0.70042,                 1.0477,                0.61141,                 0.6841,                0.72585,                0.57161,                 1.4852,                0.68936,                 1.0158,             0.00052787,             0.00052787,             0.00052787
                    113,                  1.028,                0.63963,                 1.0094,                0.60757,                0.68903,                 0.7205,                0.57783,                 1.4526,                0.67232,                 1.0059,             0.00052512,             0.00052512,             0.00052512
                    114,                 1.1166,                0.67251,                 1.0134,                0.63747,                0.69241,                 0.7299,                0.57932,                 1.3703,                0.64068,                0.98947,             0.00052237,             0.00052237,             0.00052237
                    115,                 1.0866,                0.65433,                 1.0164,                0.65901,                0.69587,                 0.7298,                0.58808,                 1.2974,                0.62385,                0.98696,             0.00051963,             0.00051963,             0.00051963
                    116,                 1.1764,                0.73825,                  1.031,                0.67303,                0.69413,                0.73363,                0.59936,                 1.3078,                0.63644,                0.98667,             0.00051688,             0.00051688,             0.00051688
                    117,                 1.1152,                0.67587,                  1.033,                0.67494,                 0.6883,                0.73357,                 0.5982,                 1.3003,                0.64182,                0.98737,             0.00051413,             0.00051413,             0.00051413
                    118,                  1.088,                0.68643,                0.99742,                0.67009,                0.68086,                 0.7338,                0.60717,                 1.3116,                0.63999,                0.99267,             0.00051138,             0.00051138,             0.00051138
                    119,                 1.0567,                0.66431,                0.98432,                0.63221,                0.69177,                0.73553,                 0.6047,                 1.3372,                0.64593,                0.99507,             0.00050863,             0.00050863,             0.00050863
                    120,                 1.0184,                0.63821,                 1.0084,                0.58114,                0.70004,                0.73354,                0.59717,                 1.3156,                0.63543,                 1.0095,             0.00050588,             0.00050588,             0.00050588
                    121,                  1.046,                0.64796,                 1.0008,                0.57383,                0.69393,                0.72936,                0.59796,                 1.3117,                0.63707,                 1.0084,             0.00050313,             0.00050313,             0.00050313
                    122,                 1.1176,                0.68533,                 1.0311,                 0.6168,                0.68364,                0.72493,                0.58033,                 1.4078,                0.66087,                0.99838,             0.00050038,             0.00050038,             0.00050038
                    123,                 1.0514,                0.66244,                 0.9809,                0.66448,                 0.6769,                0.72161,                 0.5674,                 1.4936,                 0.6877,                 1.0031,             0.00049763,             0.00049763,             0.00049763
                    124,                 1.0236,                0.64042,                0.98864,                0.66538,                0.68393,                0.71988,                0.54318,                 1.4558,                  0.688,                0.99903,             0.00049489,             0.00049489,             0.00049489
                    125,                 1.0271,                0.65725,                 1.0044,                0.66658,                0.69465,                0.72661,                0.55583,                 1.3585,                0.67992,                0.99669,             0.00049214,             0.00049214,             0.00049214
                    126,                 1.0688,                0.64763,                 0.9981,                0.63972,                0.69303,                0.71761,                0.54427,                 1.3649,                0.70454,                 1.0242,             0.00048939,             0.00048939,             0.00048939
                    127,                 1.0361,                0.63723,                0.99239,                 0.6348,                0.70408,                0.72443,                0.54389,                 1.3901,                0.69586,                 1.0275,             0.00048664,             0.00048664,             0.00048664
